"Source","Target","Weight"
"5","6","1"
"6","1","1"
"6","3","3"
"6","5","1"
"6","6","1"
"6","7","1"
"6","8","2"
"6","13","1"
"6","14","1"
"6","19","1"
"6","23","1"
"6","25","1"
"6","28","2"
"6","29","2"
"6","33","1"
"6","34","1"
"6","35","1"
"6","37","1"
"6","38","1"
"6","39","2"
"6","44","1"
"6","54","1"
"6","55","1"
"6","56","2"
"6","59","1"
"6","61","1"
"6","73","1"
"6","82","1"
"6","86","1"
"6","89","1"
"6","93","1"
"6","94","1"
"6","96","1"
"6","116","1"
"6","122","1"
"6","127","1"
"6","132","1"
"6","135","1"
"6","139","1"
"6","147","1"
"6","149","1"
"6","151","1"
"6","153","1"
"6","154","1"
"6","161","1"
"6","163","1"
"6","167","1"
"6","168","1"
"6","171","1"
"6","175","1"
"6","178","1"
"6","182","1"
"6","183","1"
"6","216","1"
"6","219","1"
"6","226","1"
"6","227","1"
"6","228","1"
"6","232","1"
"6","236","1"
"6","243","1"
"6","252","1"
"6","257","1"
"6","258","1"
"6","259","1"
"6","261","1"
"6","271","1"
"6","273","1"
"6","274","1"
"6","285","1"
"6","286","1"
"6","298","1"
"6","299","1"
"6","301","1"
"6","304","1"
"6","306","1"
"6","317","1"
"6","319","1"
"6","322","1"
"6","325","1"
"6","339","1"
"6","348","1"
"6","349","1"
"6","356","1"
"6","358","1"
"6","359","1"
"6","362","1"
"6","363","1"
"6","371","1"
"6","373","1"
"6","377","1"
"6","378","1"
"6","379","1"
"6","391","1"
"6","392","1"
"6","394","1"
"6","396","1"
"6","402","1"
"6","405","1"
"6","406","1"
"6","407","1"
"6","415","1"
"6","421","1"
"6","422","1"
"6","427","1"
"6","428","1"
"6","431","1"
"6","432","1"
"6","433","1"
"6","435","1"
"6","439","1"
"6","447","1"
"6","538","1"
"6","545","1"
"6","549","1"
"6","564","1"
"6","566","1"
"6","567","1"
"6","579","1"
"6","581","1"
"6","584","1"
"6","586","1"
"6","589","1"
"6","592","1"
"6","604","1"
"6","609","1"
"6","611","1"
"6","613","1"
"6","616","1"
"6","617","1"
"6","619","1"
"6","633","1"
"6","643","1"
"6","656","1"
"6","659","1"
"6","665","1"
"6","668","1"
"6","673","1"
"6","679","1"
"6","691","1"
"6","694","1"
"6","704","1"
"6","717","1"
"6","723","1"
"6","733","1"
"6","739","1"
"6","741","1"
"6","761","1"
"6","765","1"
"6","779","1"
"6","789","1"
"6","791","1"
"6","798","1"
"6","802","1"
"6","813","1"
"6","826","1"
"6","829","1"
"6","857","1"
"6","863","1"
"6","871","1"
"6","881","1"
"6","885","1"
"6","893","1"
"6","895","1"
"6","897","1"
"6","904","1"
"6","906","1"
"6","907","1"
"6","913","1"
"6","922","1"
"6","932","1"
"6","936","1"
"6","955","1"
"6","963","1"
"6","966","1"
"6","971","1"
"6","972","1"
"6","978","1"
"6","979","1"
"6","983","1"
"6","991","1"
"6","993","1"
"6","995","1"
"6","1007","1"
"6","1014","1"
"6","1022","1"
"6","1026","1"
"6","1032","1"
"6","1035","1"
"6","1043","1"
"6","1055","1"
"6","1062","1"
"6","1125","1"
"6","1144","1"
"6","1152","1"
"6","1156","1"
"6","1167","1"
"6","1168","1"
"6","1218","1"
"6","1221","1"
"6","1222","1"
"6","1234","1"
"6","1241","1"
"6","1248","1"
"6","1253","1"
"6","1261","1"
"6","1297","1"
"6","1321","1"
"6","1326","1"
"6","1377","1"
"6","1389","1"
"6","1394","1"
"6","1396","1"
"6","1428","1"
"6","1439","1"
"6","1441","1"
"6","1442","1"
"6","1446","1"
"6","1453","1"
"6","1464","1"
"6","1465","1"
"6","1468","1"
"6","1471","1"
"6","1472","1"
"6","1476","1"
"6","1478","1"
"6","1484","1"
"6","1485","1"
"6","1487","1"
"6","1489","1"
"6","1497","1"
"6","1501","1"
"6","1506","1"
"6","1507","1"
"6","1513","1"
"6","1514","1"
"6","1518","1"
"6","1524","1"
"6","1525","1"
"6","1531","1"
"6","1532","1"
"6","1533","1"
"6","1538","1"
"6","1549","1"
"6","1555","1"
"6","1556","1"
"6","1557","1"
"6","1563","1"
"6","1569","1"
"6","1573","1"
"6","1587","1"
"6","1597","1"
"6","1619","1"
"6","1641","1"
"6","1648","1"
"6","1652","1"
"6","1654","1"
"6","1657","1"
"6","1662","1"
"6","1669","1"
"6","1679","1"
"6","1689","1"
"6","1692","1"
"6","1701","1"
"6","1716","1"
"6","1718","1"
"6","1752","1"
"6","1758","1"
"6","1768","1"
"6","1774","1"
"6","1783","1"
"6","1787","1"
"6","1788","1"
"6","1798","1"
"6","1861","1"
"6","1864","1"
"6","1982","1"
"6","2409","1"
"6","2651","1"
"6","2843","1"
"6","2909","1"
"6","3755","1"
"6","3892","1"
"6","4037","1"
"6","4134","1"
"6","4792","1"
"6","4942","1"
"6","5323","1"
"6","5697","1"
"6","6227","1"
"6","6624","1"
"6","6765","1"
"6","6965","1"
"6","7161","1"
"6","7632","1"
"6","8282","1"
"7","6","1"
"8","6","2"
"10","6","2"
"11","1","2"
"11","3","1"
"11","5","1"
"11","6","2"
"11","7","1"
"11","8","1"
"11","12","1"
"11","13","1"
"11","15","1"
"11","17","1"
"11","19","1"
"11","23","2"
"11","24","1"
"11","25","1"
"11","28","1"
"11","29","2"
"11","31","1"
"11","33","1"
"11","34","1"
"11","35","2"
"11","36","1"
"11","38","2"
"11","44","1"
"11","49","1"
"11","51","1"
"11","54","1"
"11","55","1"
"11","56","2"
"11","61","1"
"11","71","1"
"11","72","1"
"11","73","1"
"11","75","2"
"11","76","1"
"11","81","1"
"11","86","1"
"11","89","1"
"11","93","1"
"11","95","1"
"11","96","1"
"11","105","1"
"11","108","1"
"11","116","1"
"11","119","1"
"11","122","1"
"11","123","1"
"11","125","1"
"11","126","1"
"11","127","1"
"11","131","1"
"11","132","1"
"11","133","1"
"11","136","1"
"11","139","1"
"11","142","1"
"11","147","1"
"11","149","1"
"11","151","1"
"11","152","1"
"11","153","1"
"11","154","1"
"11","155","1"
"11","161","1"
"11","163","1"
"11","168","2"
"11","171","1"
"11","173","1"
"11","178","2"
"11","183","1"
"11","188","1"
"11","192","2"
"11","199","1"
"11","204","1"
"11","206","1"
"11","214","1"
"11","216","1"
"11","219","1"
"11","221","1"
"11","224","2"
"11","227","1"
"11","228","1"
"11","235","1"
"11","241","1"
"11","246","1"
"11","247","1"
"11","249","1"
"11","252","1"
"11","255","1"
"11","257","2"
"11","258","1"
"11","259","1"
"11","261","1"
"11","271","1"
"11","272","1"
"11","274","1"
"11","276","1"
"11","282","1"
"11","285","1"
"11","286","1"
"11","298","1"
"11","299","1"
"11","301","1"
"11","306","1"
"11","308","1"
"11","313","1"
"11","314","1"
"11","317","1"
"11","318","1"
"11","319","1"
"11","322","1"
"11","325","1"
"11","326","1"
"11","332","1"
"11","334","1"
"11","338","1"
"11","348","1"
"11","365","1"
"11","366","1"
"11","368","1"
"11","372","1"
"11","383","1"
"11","397","1"
"11","404","1"
