"NodeId","OutDegree","InDegree","TotalActivity"
"2565","893","274","1167"
"1549","587","245","832"
"11","743","32","775"
"766","773","0","773"
"1166","599","144","743"
"457","732","0","732"
"2688","618","0","618"
"1374","462","89","551"
"1151","472","71","543"
"5524","389","149","538"
"3352","273","264","537"
"762","50","480","530"
"2485","324","160","484"
"2328","215","266","481"
"789","317","155","472"
"4037","15","457","472"
"3456","241","223","464"
"737","232","231","463"
"6","302","143","445"
"2871","282","162","444"
"4541","0","1","1"
"4545","1","0","1"
"4554","1","0","1"
"4555","1","0","1"
"4556","1","0","1"
"4568","1","0","1"
"4569","1","0","1"
"767","1","0","1"
"4594","1","0","1"
"4612","1","0","1"
"4596","1","0","1"
"4597","1","0","1"
"760","1","0","1"
"4599","1","0","1"
"4601","1","0","1"
"4603","1","0","1"
"4607","1","0","1"
"4608","1","0","1"
"4611","1","0","1"
"3909","1","0","1"
