"NodeId","OutDegree","InDegree","TotalActivity"
"2565","893","274","1167"
"1549","587","245","832"
"11","743","32","775"
"766","773","0","773"
"1166","599","144","743"
"457","732","0","732"
"2688","618","0","618"
"1374","462","89","551"
"1151","472","71","543"
"5524","389","149","538"
"3352","273","264","537"
"762","50","480","530"
"2485","324","160","484"
"2328","215","266","481"
"789","317","155","472"
"4037","15","457","472"
"3456","241","223","464"
"737","232","231","463"
"6","302","143","445"
"2871","282","162","444"
"29","150","293","443"
"15","50","387","437"
"5079","271","165","436"
"2651","269","162","431"
"1608","355","73","428"
"5802","385","41","426"
"2237","241","181","422"
"993","238","181","419"
"2972","357","46","403"
"2398","62","340","402"
"1133","399","0","399"
"3453","319","67","386"
"1297","76","309","385"
"2658","307","77","384"
"5189","312","63","375"
"24","309","61","370"
"311","321","47","368"
"173","334","32","366"
"1305","290","73","363"
"3642","362","0","362"
"4967","361","0","361"
"2256","247","107","354"
"3447","271","81","352"
"2576","146","192","338"
"5022","172","162","334"
"5697","230","104","334"
"2625","0","331","331"
"813","272","50","322"
"722","264","56","320"
"4099","155","164","319"
"4712","121","197","318"
"72","164","154","318"
"5179","217","101","318"
"2654","104","213","317"
"3449","314","0","314"
"4828","168","141","309"
"1098","305","0","305"
"2326","252","49","301"
"5254","33","265","298"
"996","297","0","297"
"3976","145","148","293"
"988","292","0","292"
"3026","175","113","288"
"4632","228","58","286"
"1496","210","74","284"
"1542","244","39","283"
"3459","92","191","283"
"5543","137","145","282"
"2411","141","140","281"
"3568","147","134","281"
"407","145","135","280"
"5188","211","69","280"
"2145","145","135","280"
"2535","47","232","279"
"4191","20","259","279"
"4310","278","0","278"
"28","133","144","277"
"3787","232","45","277"
"826","249","27","276"
"2653","113","162","275"
"68","275","0","275"
"3028","189","85","274"
"2297","164","107","271"
"1428","183","88","271"
"825","165","105","270"
"8","182","87","269"
"1211","79","188","267"
"306","244","22","266"
"36","227","34","261"
"4335","32","228","260"
"4045","257","0","257"
"6907","191","64","255"
"3614","205","50","255"
"4536","81","173","254"
"2066","0","254","254"
"2713","200","54","254"
"1319","181","72","253"
"784","224","28","252"
"2693","149","101","250"
"1492","157","93","250"
"3615","144","106","250"
"5002","115","135","250"
"3089","4","244","248"
"7092","93","155","248"
"5814","144","104","248"
"3796","113","132","245"
"3586","156","88","244"
"6305","190","53","243"
"5531","243","0","243"
"3454","148","94","242"
"2323","111","130","241"
"2369","189","51","240"
"1919","112","128","240"
"3394","156","82","238"
"2967","238","0","238"
"2859","139","94","233"
"1167","158","73","231"
"3334","13","217","230"
"310","230","0","230"
"4483","153","77","230"
"6327","108","122","230"
"86","122","108","230"
"1972","181","47","228"
"312","227","0","227"
"122","213","13","226"
"2135","146","79","225"
"4653","114","110","224"
"7052","142","82","224"
"35","65","158","223"
"2474","142","81","223"
"4441","202","21","223"
"5800","222","0","222"
"1055","196","25","221"
"2686","156","63","219"
"6914","95","124","219"
"5412","0","219","219"
"1210","218","0","218"
"3381","180","37","217"
"319","199","18","217"
"3032","216","0","216"
"7047","161","54","215"
"3084","62","153","215"
"4948","214","0","214"
"600","214","0","214"
"3276","79","134","213"
"1717","96","117","213"
"4899","169","44","213"
"56","24","189","213"
"3641","212","0","212"
"1772","141","71","212"
"1808","129","82","211"
"663","158","53","211"
"2516","44","167","211"
"432","157","53","210"
"2657","44","165","209"
"1357","91","117","208"
"2371","124","84","208"
"6596","177","31","208"
"346","86","121","207"
"6634","3","203","206"
"3452","131","74","205"
"1922","204","0","204"
"1585","102","101","203"
"3192","56","146","202"
"922","149","51","200"
"2667","126","73","199"
"1395","199","0","199"
"2504","100","99","199"
"633","55","143","198"
"3498","114","83","197"
"1633","0","195","195"
"6624","135","60","195"
"4735","0","195","195"
"3291","58","137","195"
"87","195","0","195"
"3897","9","186","195"
"656","0","194","194"
"1186","0","193","193"
"3537","0","193","193"
"1062","156","37","193"
"308","142","50","192"
"3631","91","101","192"
"271","0","192","192"
"5796","191","0","191"
"769","146","44","190"
"109","190","0","190"
"7553","0","190","190"
"2062","121","68","189"
"1026","0","189","189"
"317","140","49","189"
"3439","88","100","188"
"1352","121","67","188"
"1279","124","64","188"
"4065","131","57","188"
"20","187","0","187"
"3634","82","105","187"
"3117","0","186","186"
"1473","91","95","186"
"2775","35","151","186"
"5176","139","46","185"
"6946","68","117","185"
"1814","105","79","184"
"2542","93","90","183"
"6299","78","104","182"
"4875","0","181","181"
"2560","180","0","180"
"7632","0","178","178"
"58","38","139","177"
"6006","68","109","177"
"5123","69","108","177"
"2958","47","129","176"
"3562","40","136","176"
"2585","60","116","176"
"5103","127","48","175"
"44","44","131","175"
"214","0","175","175"
"5459","0","175","175"
"5484","22","153","175"
"904","119","55","174"
